iso,country_name,Total,Drought,Flood,Epidemic,Extreme_temperature,Earthquake,Landslide,Storm
AFG,Afghanistan,170,6,79,20,7,33,19,6
ALB,Albania,28,1,12,2,4,6,1,2
DZA,Algeria,79,1,50,2,1,20,1,4
ASM,American Samoa,7,0,1,0,0,2,0,4
AGO,Angola,63,7,36,19,0,0,1,0
AIA,Anguilla,13,1,1,5,0,0,0,6
ATG,Antigua and Barbuda,12,1,0,0,0,0,0,11
ARG,Argentina,97,2,55,2,8,5,4,21
ARM,Armenia,7,1,3,0,1,1,0,1
AUS,Australia,188,10,61,1,6,4,2,104
AUT,Austria,48,0,17,0,5,1,8,17
AZE,Azerbaijan,15,1,7,0,1,5,1,0
AZO,Azores Islands,6,0,0,0,0,3,1,2
BHS,Bahamas (the),25,0,2,0,0,0,0,23
BHR,Bahrain,1,0,0,1,0,0,0,0
BGD,Bangladesh,333,7,89,30,22,8,4,173
BRB,Barbados,11,1,2,0,0,1,0,7
BLR,Belarus,12,0,3,2,5,0,0,2
BEL,Belgium,63,1,23,1,9,2,0,27
BLZ,Belize,20,0,5,0,1,0,0,14
BEN,Benin,46,2,19,24,0,0,0,1
BMU,Bermuda,6,0,0,0,0,0,0,6
BTN,Bhutan,9,0,3,2,0,2,,2
BOL,Bolivia (Plurinational State of),82,12,40,12,5,3,8,2
BIH,Bosnia and Herzegovina,23,2,13,1,4,0,1,2
BWA,Botswana,19,6,9,3,0,0,0,1
BRA,Brazil,218,18,131,16,8,2,24,19
BGR,Bulgaria,43,2,19,0,9,6,1,6
BFA,Burkina Faso,55,13,18,24,0,0,0,0
BDI,Burundi,50,6,22,14,0,1,1,6
CPV,Cabo Verde,16,10,1,2,0,0,0,3
KHM,Cambodia,35,5,18,9,0,0,0,3
CMR,Cameroon,44,4,15,24,0,0,1,0
CAN,Canada,99,5,38,7,5,1,0,43
SPI,Canary Is,6,0,2,0,1,0,0,3
CYM,Cayman Islands (the),7,0,0,0,0,0,0,7
CAF,Central African Republic,35,1,15,10,0,0,0,9
TCD,Chad,51,10,17,21,0,0,0,3
CHL,Chile,92,2,31,1,9,31,4,14
CHN,China,828,37,271,10,14,156,65,275
COL,Colombia,151,2,72,4,0,25,40,8
COM,Comoros (the),17,1,2,6,0,1,0,7
COD,Congo (the Democratic Republic of the),109,2,24,69,0,4,5,5
COG,Congo (the),27,1,9,16,0,0,1,0
COK,Cook Islands (the),14,0,0,3,0,0,0,11
CRI,Costa Rica,56,4,28,2,0,14,1,7
CIV,C??te dƒ??Ivoire,24,1,9,13,0,0,1,0
HRV,Croatia,19,1,10,0,6,1,0,1
CUB,Cuba,74,7,23,2,0,2,0,40
CYP,Cyprus,13,2,0,2,3,2,0,4
CZE,Czech Republic (the),24,0,13,0,5,0,0,6
CSK,Czechoslovakia,9,0,1,0,3,0,2,3
DNK,Denmark,16,1,0,0,0,0,0,15
DJI,Djibouti,22,9,7,5,0,0,0,1
DMA,Dominica,14,0,0,0,0,1,0,13
DOM,Dominican Republic (the),69,1,27,8,0,2,0,31
ECU,Ecuador,83,4,32,13,0,19,15,0
EGY,Egypt,31,0,12,3,4,5,0,7
SLV,El Salvador,60,6,16,10,1,10,2,15
GNQ,Equatorial Guinea,1,0,0,1,0,0,0,0
ERI,Eritrea,6,3,2,0,0,0,0,1
EST,Estonia,3,0,0,0,2,0,0,1
ETH,Ethiopia,104,16,54,25,0,7,2,0
FJI,Fiji,53,3,12,0,0,2,0,36
FIN,Finland,3,0,1,0,0,0,0,2
FRA,France,136,4,46,2,15,2,10,57
GUF,French Guiana,2,0,1,0,0,0,1,0
PYF,French Polynesia,7,0,0,0,0,0,3,4
GAB,Gabon,13,0,2,8,0,0,0,3
GMB,Gambia (the),26,9,9,4,0,0,0,4
GEO,Georgia,22,1,14,0,0,4,0,3
DEU,Germany,71,0,16,2,10,2,1,40
DDR,Germany Dem Rep,3,0,0,0,0,0,0,3
DFR,Germany Fed Rep,19,0,7,0,1,1,0,10
GHA,Ghana,44,3,19,21,0,1,0,0
GRC,Greece,71,1,23,0,7,32,0,8
GRD,Grenada,7,1,1,0,0,0,0,5
GLP,Guadeloupe,15,0,1,1,0,1,0,12
GUM,Guam,10,0,0,0,0,1,0,9
GTM,Guatemala,80,6,24,8,4,16,9,13
GIN,Guinea,32,2,12,15,0,1,1,1
GNB,Guinea-Bissau,20,6,4,8,0,0,0,2
GUY,Guyana,10,3,7,0,0,0,0,0
HTI,Haiti,114,9,54,7,0,2,2,40
HND,Honduras,78,11,31,9,0,5,1,21
HKG,Hong Kong,102,7,25,1,1,0,6,62
HUN,Hungary,30,3,15,0,5,1,0,6
ISL,Iceland,8,0,1,0,0,3,4,0
IND,India,667,15,272,68,57,32,46,177
IDN,Indonesia,401,10,174,35,0,115,55,12
IRN,Iran (Islamic Republic of),207,2,79,3,1,106,4,12
IRQ,Iraq,22,2,12,7,0,1,0,0
IRL,Ireland,22,0,5,2,0,0,0,15
ISR,Israel,12,1,3,1,2,0,1,4
ITA,Italy,126,3,45,2,8,32,15,21
JAM,Jamaica,53,4,13,5,0,1,1,29
JPN,Japan,315,1,51,3,8,61,22,169
JOR,Jordan,15,2,6,1,2,1,0,3
KAZ,Kazakhstan,20,0,11,3,3,1,1,1
KEN,Kenya,103,14,50,32,0,2,4,1
KIR,Kiribati,6,1,2,1,0,0,0,2
PRK,Korea (the Democratic People's Republic of),37,2,24,2,0,1,0,8
KOR,Korea (the Republic of),108,2,37,5,2,0,9,53
KWT,Kuwait,2,0,1,1,0,0,0,0
KGZ,Kyrgyzstan,28,1,4,3,2,8,8,2
LAO,Lao People's Democratic Republic (the),44,5,25,9,0,0,0,5
LVA,Latvia,8,0,0,1,4,0,0,3
LBN,Lebanon,9,0,3,0,1,1,0,5
LSO,Lesotho,22,7,5,3,0,0,0,7
LBR,Liberia,21,1,5,12,0,0,0,2
LBY,Libya,3,0,2,0,0,1,0,0
LTU,Lithuania,12,2,2,0,5,0,0,3
LUX,Luxembourg,11,0,2,0,1,0,0,8
MAC,Macao,5,0,0,1,0,0,0,4
MKD,Macedonia (the former Yugoslav Republic of),18,1,10,1,5,0,0,1
MDG,Madagascar,73,7,7,6,0,0,0,53
MWI,Malawi,63,8,35,14,0,3,0,3
MYS,Malaysia,67,2,39,13,0,2,4,7
MDV,Maldives,6,0,2,2,0,1,0,1
MLI,Mali,52,11,22,19,0,0,0,0
MHL,Marshall Islands (the),5,1,2,1,0,0,0,1
MTQ,Martinique,16,0,0,1,0,1,0,14
MRT,Mauritania,36,12,16,6,0,0,0,2
MUS,Mauritius,22,1,1,2,0,0,0,18
MEX,Mexico,231,7,62,3,17,32,12,98
FSM,Micronesia (Federated States of),9,1,1,1,0,0,0,6
MDA,Moldova (the Republic of),15,3,7,1,2,0,,2
MNG,Mongolia,22,1,6,3,2,1,0,9
MNE,Montenegro,5,0,4,0,1,0,0,0
MSR,Montserrat,4,0,0,0,0,0,0,4
MAR,Morocco,48,5,31,1,3,3,1,4
MOZ,Mozambique,98,13,34,27,0,1,1,22
MMR,Myanmar,64,0,27,3,0,8,7,19
NAM,Namibia,28,8,13,7,0,0,0,0
NPL,Nepal,116,6,44,20,7,8,24,7
NLD,Netherlands (the),34,0,4,1,5,1,0,23
ANT,Netherlands Antilles,4,0,0,0,0,0,0,4
NCL,New Caledonia,17,0,0,1,0,0,0,16
NZL,New Zealand,64,2,37,2,1,9,1,12
NIC,Nicaragua,69,5,21,12,0,10,1,20
NER,Niger (the),77,14,22,40,0,0,0,1
NGA,Nigeria,110,1,43,56,2,0,3,5
NIU,Niue,6,0,0,1,0,0,0,5
MNP,Northern Mariana Islands (the),3,0,0,0,0,0,0,3
NOR,Norway,11,0,3,0,0,0,1,7
OMN,Oman,10,0,1,0,0,0,0,9
PAK,Pakistan,193,1,88,10,17,31,21,25
PLW,Palau,1,0,0,0,0,0,0,1
PSE,"Palestine, State of",8,0,4,1,0,0,0,3
PAN,Panama,53,3,37,5,0,4,0,4
PNG,Papua New Guinea,57,3,15,7,0,14,11,7
PRY,Paraguay,48,8,21,8,3,0,0,8
PER,Peru,163,8,51,13,12,43,32,4
PHL,Philippines (the),561,9,143,18,0,28,30,333
POL,Poland,48,,14,0,18,1,0,15
PRT,Portugal,30,3,14,0,4,0,0,9
PRI,Puerto Rico,30,1,7,0,0,1,2,19
REU,R??union,12,0,0,1,0,0,1,10
ROU,Romania,95,2,47,3,19,13,1,10
RUS,Russian Federation (the),131,5,57,10,21,11,7,20
RWA,Rwanda,37,6,13,12,0,2,4,0
SHN,"Saint Helena, Ascension and Tristan da Cunha",1,0,0,0,0,0,0,1
KNA,Saint Kitts and Nevis,9,0,1,0,0,0,0,8
LCA,Saint Lucia,18,1,2,0,0,1,1,13
VCT,Saint Vincent and the Grenadines,16,1,6,0,0,0,0,9
WSM,Samoa,13,1,1,0,0,1,0,10
STP,Sao Tome and Principe,4,1,0,3,0,0,0,0
SAU,Saudi Arabia,22,0,18,3,0,0,0,1
SEN,Senegal,45,10,20,12,0,0,0,3
SRB,Serbia,21,0,12,0,8,1,0,0
SCG,Serbia Montenegro,15,0,9,2,2,1,0,1
SYC,Seychelles,6,0,2,1,0,1,0,2
SLE,Sierra Leone,28,0,8,16,0,0,1,3
SGP,Singapore,3,0,0,3,0,0,0,0
SVK,Slovakia,18,0,12,0,5,0,0,1
SVN,Slovenia,9,0,3,0,2,2,0,2
SLB,Solomon Islands,34,3,5,1,0,8,0,17
SOM,Somalia,88,15,41,27,0,1,0,4
ZAF,South Africa,88,9,33,7,3,9,1,26
SSD,South Sudan,15,2,9,4,0,0,0,0
SUN,Soviet Union,57,1,17,2,0,26,6,5
ESP,Spain,70,4,30,3,8,3,1,21
LKA,Sri Lanka,97,10,62,9,0,1,6,9
SDN,Sudan (the),83,9,32,37,1,2,0,2
SUR,Suriname,3,0,3,0,0,0,0,0
SWZ,Swaziland,14,5,3,3,0,0,0,3
SWE,Sweden,13,0,2,2,1,0,1,7
CHE,Switzerland,55,0,8,1,6,0,10,30
SYR,Syrian Arab Republic,12,2,3,2,0,0,1,4
TWN,Taiwan (Province of China),103,0,8,2,1,14,1,77
TJK,Tajikistan,62,2,28,5,3,10,12,2
TZA,"Tanzania, United Republic of",98,10,40,32,0,10,1,5
THA,Thailand,131,9,72,7,2,5,3,33
TLS,Timor-Leste,11,2,5,2,0,1,0,1
TGO,Togo,27,3,11,12,0,0,0,1
TKL,Tokelau,6,0,0,0,0,0,0,6
TON,Tonga,18,1,0,0,0,2,0,15
TTO,Trinidad and Tobago,12,1,2,0,0,1,1,7
TUN,Tunisia,18,2,15,0,0,1,0,0
TUR,Turkey,154,0,41,8,7,77,12,9
TKM,Turkmenistan,2,0,1,0,0,1,0,0
TCA,Turks and Caicos Islands (the),6,0,0,0,0,0,0,6
TUV,Tuvalu,7,1,0,0,0,0,0,6
UGA,Uganda,80,9,18,39,0,5,5,4
UKR,Ukraine,31,1,14,3,6,0,0,7
GBR,United Kingdom of Great Britain and Northern Irela,88,0,33,4,8,2,1,40
USA,United States of America (the),873,14,175,5,36,41,5,597
URY,Uruguay,27,1,16,0,4,0,0,6
UZB,Uzbekistan,6,1,1,1,0,2,1,0
VUT,Vanuatu,39,0,2,0,0,9,1,27
VEN,Venezuela (Bolivarian Republic of),54,1,30,7,0,8,4,4
VNM,Viet Nam,196,6,76,10,0,0,6,98
VGB,Virgin Island (British),2,0,0,0,0,0,0,2
VIR,Virgin Island (U.S.),6,0,0,0,0,0,0,6
WLF,Wallis and Futuna,5,0,0,0,0,1,0,4
YEM,Yemen,36,2,25,3,0,1,3,4
YMN,Yemen Arab Rep,6,0,3,0,0,1,0,0
YMD,Yemen P Dem Rep,7,2,5,0,0,0,0,0
YUG,Yugoslavia,20,1,6,1,1,11,0,0
ZMB,Zambia,42,5,18,18,0,0,1,0
ZWE,Zimbabwe,45,8,11,22,0,0,0,4