year,Earthquake,Drought,Epidemic,Extreme_temperature,Flood,Landslide,Storm
1900,0,1261000,30,0,300,0,6000
1901,18,0,200000,0,0,0,0
1902,6747,0,0,0,0,0,600
1903,6000,0,0,0,250,0,163
1904,0,0,0,0,0,0,0
1905,22500,0,0,0,0,0,240
1906,31966,0,0,0,6,0,10298
1907,115641,0,1300000,0,0,0,0
1908,225000,0,0,0,0,0,0
1909,5146,0,1500040,0,72,53,713
1910,1762,117000,60000,0,1379,0,30
1911,0,0,0,0,100000,0,1000
1912,2498,0,0,0,0,0,148690
1913,150,0,0,0,0,0,732
1914,169,0,0,0,0,0,0
1915,29986,0,0,0,3000000,0,2125
1916,0,0,0,0,0,0,300
1917,19450,0,2500000,0,635000,0,4057
1918,10379,0,2449700,0,0,0,34
1919,0,0,0,0,0,0,500
1920,180650,20524000,2500000,0,0,0,224
1921,0,6200000,0,0,0,0,0
1922,1100,0,0,0,0,100,100000
1923,356095,0,18100000,0,0,200,29439
1924,12017,0,300000,0,0,0,1002242
1925,5013,0,0,0,0,0,819
1926,12,0,423000,0,1000,128,43568
1927,206192,0,0,0,3246,0,45782
1928,844,3000000,0,0,8036,0,4224
1929,4438,0,0,0,0,0,0
1930,15289,0,0,0,0,40,16082
1931,13419,25000,0,0,3700000,190,3200
1932,73081,0,16,0,0,30,5744
1933,16180,0,0,0,3618053,0,63
1934,16685,0,0,0,0,500,5091
1935,66110,0,2000,0,10172000,0,63207
1936,46,0,0,1693,200,73,153309
1937,0,0,0,0,248,0,11231
1938,5676,0,0,0,954,200,905
1939,121662,0,0,0,500010,0,3
1940,1275,20000,16500,0,2125,0,123
1941,189,0,0,0,0,5000,5006
1942,7251,1500000,0,0,0,0,101000
1943,25463,1900000,0,0,990,0,35000
1944,169984,0,0,0,0,0,12726
1945,5961,0,104,0,0,0,1888087
1946,5153,30000,0,0,0,0,337
1947,633,0,10276,0,2000,0,4738
1948,121618,0,0,0,917,525,417424
1949,112014,0,0,0,97000,12000,196850
1950,42033,0,72162,0,10135808,130,642990
1951,1704,0,0,69,497700,92,83061
1952,2882,0,0,0,199,28,1003529
1953,52872,0,8481,669,2198235,0,1001814
1954,133195,0,0,0,34436,6932,300018
1955,3100,0,0,107,584,478,378895
1956,3352,0,0,0,80613,236,1003114
1957,22241,0,0,0,270711,0,251250
1958,1246,0,0,651,5400,52,22620
1959,103,0,0,0,2016396,48,1511295
1960,2048645,0,0,0,177577,52,654541
1961,60,0,0,400,1308247,166,22023
1962,115476,0,0,50,1180,71,41860
1963,5543,13400,8724,162,81441,2033,6032165
1964,116796,2596050,15165,0,2278060,108,2906834
1965,240356,103468000,105936,100,4515673,204,16263271
1966,378997,368000,3142,262,4918394,4000604,2708173
1967,548192,2879083,217709,0,2467648,1258,597352
1968,183785,1114217,3326,153,24836282,2093,440899
1969,343017,8971604,133740,0,1822531,18,712596
1970,3494857,10087600,9116,0,28196349,347,5798852
1971,2443965,999000,9789,400,1176404,1026,7103508
1972,2334078,204815000,209,110,4318076,1755,7705652
1973,4361,3100000,0,283,5215136,3541,3664750
1974,118755,756000,32000,0,43223254,15404,1010704
1975,66004,0,107,740,39130296,75195,880347
1976,6668367,3120000,964,0,9986187,331,4719408
1977,921605,8408400,175107,0,3606374,190,14806330
1978,675661,6547948,2019267,150,42492355,93,3149775
1979,450726,25992018,2178,470,30583450,6256,4057686
1980,1643270,9640100,28880,1389,45209928,3310,18903003
1981,162474,7513000,67378,300,20766830,24421,3551638
1982,511614,104237580,178212,600,37319387,52771,8452533
1983,1002414,79834629,9027,2905,20958715,726392,3496658
1984,792718,3252230,45034,290,51581562,16282,8534028
1985,3719336,500000,28682,7541,17702875,4403,6057539
1986,1109581,851084,610901,30050,12577201,2501201,14702885
1987,433006,317013684,615151,1237,50062254,37363,5885787
1988,23316471,54201100,121868,844,107943575,66097,21037265
1989,354274,17060237,25204,381,104329903,100401,50830651
1990,2639449,16804342,41272,1000979,46656482,98,17269202
1991,980269,30154000,2219789,1285,227805241,89256,23450164
1992,772349,28531500,737611,16388,19603109,76572,18488159
1993,235360,3531507,462739,3000866,149257073,157109,15061736
1994,793187,95015000,6579202,1108525,129789942,309356,37045380
1995,1948294,10871994,457820,537008,193449203,1135916,14329383
1996,5490757,3342000,713990,500,182685060,10091,27783687
1997,1300162,8574032,392468,712784,44660387,34752,14689540
1998,3687436,14054355,933971,39655,293673338,213954,31046369
1999,6878712,99037906,1129925,726017,149120875,15736,25114123
2000,2478776,81225495,1088828,28627,73910961,216169,15137845
2001,9732631,32081253,247147,214948,34556660,71823,31993172
2002,851342,377557523,1216789,107355,167774959,305835,111163994
2003,4224084,67732084,140064,1914786,169431182,459354,11093718
2004,3374495,17971580,167398,2140135,116997797,12690,21389510
2005,6263705,29551139,437520,3334,75032563,10218,49129635
2006,3865531,23857134,300653,66580,30315191,433794,67113561
2007,1383164,5278144,479852,989174,178905699,9273,24005280
2008,47668240,34068008,430151,79172825,44914768,5653,15792759
2009,3222980,86295500,496783,857537,59738560,45477,50586065
2010,7163713,49392978,903708,129949,188802654,2463332,8932579
2011,1768566,30423194,1159911,4369940,136453886,7562,38579985
2012,2860969,23551085,158338,613059,63965563,4217,20268594
2013,7032282,7955904,311859,191837,32085716,1269,48856735
2014,3212635,68810137,220760,1228866,41572744,19690,25792122
2015,7180509,47888374,57045,1264291,34778417,51056,10391371
2016,103024,335150000,0,750468,2052445,240929,1032955